# alt.atheism comp.graphics comp.os.ms-windows.misc comp.sys.ibm.pc.hardware comp.sys.mac.hardware comp.windows.x misc.forsale rec.autos rec.motorcycles rec.sport.baseball rec.sport.hockey sci.crypt sci.electronics sci.med sci.space soc.religion.christian talk.politics.guns talk.politics.mideast talk.politics.misc talk.religion.misc
7.051282051282051211e-02 4.807692307692307959e-02 3.846153846153846367e-02 1.153846153846153910e-01 4.807692307692307959e-02 3.846153846153846367e-02 7.051282051282051211e-02 6.410256410256409687e-02 6.089743589743589619e-02 2.884615384615384776e-02 8.333333333333332871e-02 2.564102564102564014e-02 1.282051282051282007e-02 5.128205128205128027e-02 4.487179487179487197e-02 4.487179487179487197e-02 4.807692307692307959e-02 2.564102564102564014e-02 6.089743589743589619e-02 1.923076923076923184e-02
5.597964376590330859e-02 5.089058524173027676e-02 5.597964376590330859e-02 1.068702290076335853e-01 3.307888040712467920e-02 4.834605597964376777e-02 8.142493638676845391e-02 4.580152671755725186e-02 5.343511450381679267e-02 2.798982188295165430e-02 7.379134860050889921e-02 2.798982188295165430e-02 2.035623409669211348e-02 4.325699745547073594e-02 4.834605597964376777e-02 6.361323155216284941e-02 5.089058524173027676e-02 4.834605597964376777e-02 3.816793893129771104e-02 2.544529262086513838e-02
4.603580562659846664e-02 7.161125319693094349e-02 3.580562659846547174e-02 1.304347826086956486e-01 5.115089514066496063e-02 3.324808184143222822e-02 6.905370843989769303e-02 6.393861892583120599e-02 4.092071611253197266e-02 5.626598465473145461e-02 5.626598465473145461e-02 2.813299232736572730e-02 1.278772378516624016e-02 3.069053708439897776e-02 3.324808184143222822e-02 8.951406649616368283e-02 4.603580562659846664e-02 4.347826086956521618e-02 3.069053708439897776e-02 3.069053708439897776e-02
3.439803439803439805e-02 5.405405405405405705e-02 3.439803439803439805e-02 1.449631449631449687e-01 4.422604422604422408e-02 4.914004914004913710e-02 6.388206388206388309e-02 4.914004914004913710e-02 7.125307125307125955e-02 3.194103194103194154e-02 6.879606879606879610e-02 4.176904176904176758e-02 2.211302211302211204e-02 3.194103194103194154e-02 3.685503685503685456e-02 6.633906633906633266e-02 5.651105651105651356e-02 3.685503685503685456e-02 4.176904176904176758e-02 1.965601965601965553e-02
5.793450881612090958e-02 5.793450881612090958e-02 4.030226700251889060e-02 1.108312342569269526e-01 3.274559193954659775e-02 3.778337531486146428e-02 8.060453400503778121e-02 6.045340050377833591e-02 7.556675062972292856e-02 4.030226700251889060e-02 6.045340050377833591e-02 5.037783375314861672e-02 1.511335012594458398e-02 2.770780856423173816e-02 7.052896725440806203e-02 5.541561712846347632e-02 5.541561712846347632e-02 2.518891687657430836e-02 2.015113350125944530e-02 2.518891687657430836e-02
4.390243902439024126e-02 6.829268292682927344e-02 3.658536585365853439e-02 1.097560975609756101e-01 3.170731707317073211e-02 3.902439024390243899e-02 9.268292682926829174e-02 3.658536585365853439e-02 5.365853658536585274e-02 5.121951219512194814e-02 5.365853658536585274e-02 4.634146341463414587e-02 2.682926829268292637e-02 3.902439024390243899e-02 7.317073170731706877e-02 5.853658536585366196e-02 4.390243902439024126e-02 4.878048780487805047e-02 2.439024390243902524e-02 2.195121951219512063e-02
4.651162790697674354e-02 5.943152454780361443e-02 2.325581395348837177e-02 9.560723514211885710e-02 3.359173126614987265e-02 4.134366925064599657e-02 7.493540051679586922e-02 6.976744186046511531e-02 8.010335917312660925e-02 3.100775193798449569e-02 7.751937984496123923e-02 6.976744186046511531e-02 2.067183462532299829e-02 1.808785529715762133e-02 4.651162790697674354e-02 8.268733850129199314e-02 4.392764857881136659e-02 3.617571059431524266e-02 3.617571059431524266e-02 1.291989664082687263e-02
3.394255874673629547e-02 6.788511749347259094e-02 4.177545691906005276e-02 8.877284595300261039e-02 3.394255874673629547e-02 4.960835509138381005e-02 7.571801566579634823e-02 5.744125326370757428e-02 6.788511749347259094e-02 3.133159268929503610e-02 8.616187989556135796e-02 4.699738903394255762e-02 1.827676240208877395e-02 4.177545691906005276e-02 5.744125326370757428e-02 6.788511749347259094e-02 4.438642297650130519e-02 2.610966057441253124e-02 3.655352480417754790e-02 2.610966057441253124e-02
5.159705159705159361e-02 5.651105651105651356e-02 5.159705159705159361e-02 1.031941031941031872e-01 3.685503685503685456e-02 2.948402948402948504e-02 7.616707616707617257e-02 6.142506142506142658e-02 6.142506142506142658e-02 4.422604422604422408e-02 5.896805896805897007e-02 4.668304668304668059e-02 1.474201474201474252e-02 3.194103194103194154e-02 5.159705159705159361e-02 4.914004914004913710e-02 5.159705159705159361e-02 5.896805896805897007e-02 3.194103194103194154e-02 3.194103194103194154e-02
4.466501240694788905e-02 7.692307692307692735e-02 2.481389578163771883e-02 9.429280397022332671e-02 6.451612903225806273e-02 3.722084367245657305e-02 5.955334987593052104e-02 3.970223325062034736e-02 8.188585607940446209e-02 4.466501240694788905e-02 6.203473945409429535e-02 3.970223325062034736e-02 1.736972704714640284e-02 3.225806451612903136e-02 4.962779156327543767e-02 8.684863523573201072e-02 5.955334987593052104e-02 3.970223325062034736e-02 2.977667493796526052e-02 1.488833746898263026e-02
